Model,risk,A,B,C,D,E,MSE,MAE,RMSE,Bias,emp_SE,mard
Lerp,0.9849666048243604,0.4496315910660833,0.2217936909970067,0.2498273083122265,0.0785171540409855,0.0002302555836979,14914.2822265625,92.23257446289062,122.1240463256836,-77.49923706054688,94.3857192993164,37.57209014892578
CSDI,0.8180177769113846,0.5169734376722143,0.2192218670781439,0.2212057753774936,0.0425989198721481,0.0,13534.0517578125,85.66069793701172,116.33594512939453,-53.46220397949219,103.32682800292969,38.85353088378906
SAITS,1.0075938564359967,0.3545382704899525,0.3376608715285618,0.2900203206141341,0.0177805373673515,0.0,16128.9189453125,100.42887878417969,126.99967956542969,-63.96394348144531,109.71878814697266,45.732295989990234
FreTS,1.3041709284023224,0.3062388193202147,0.2278622540250447,0.3357558139534883,0.1286896243291592,0.001453488372093,21993.330078125,116.5595703125,148.30148315429688,-99.55964660644531,109.9176025390625,45.99079895019531
SCINet,1.0816578735916873,0.3524111547367361,0.2881808114366254,0.311285613611195,0.0481224202154434,0.0,17564.845703125,103.79281616210938,132.53244018554688,-77.80863189697266,107.29045867919922,43.61109924316406
TimeMixer,2.7802746105378104,0.0164517111810703,0.0496090179750177,0.212958261399411,0.5485427033614299,0.1724383060830709,40135.4609375,171.84327697753906,200.33836364746094,-171.81063842773438,103.03934478759766,72.23444366455078
TimeMixerPP,1.923435965450415,0.1796274860570346,0.1310112596022308,0.2735978112175102,0.3944017678627802,0.021361675260444,31045.388671875,143.91986083984375,176.197021484375,-139.88458251953125,107.13678741455078,55.97854995727539
TSLANet,2.6790999698744526,0.0427464008859357,0.0616279069767441,0.2051495016611295,0.5169435215946844,0.1735326688815061,42429.21875,175.86895751953125,205.98353576660156,-175.47564697265625,107.88027954101562,70.58953094482422
TEFN,1.2576430905300913,0.3263081395348837,0.2125726744186046,0.3535091362126246,0.1067794850498338,0.0008305647840531,20942.466796875,113.27034759521484,144.71511840820312,-91.696533203125,111.9592056274414,46.2254753112793
TOTEM,2.7219886207704933,0.0430341230167354,0.0647141925668332,0.1900673766572484,0.4877200608563355,0.2144642469028472,43572.55859375,178.02279663085938,208.7404022216797,-177.45071411132812,109.9293441772461,70.61572265625
GPT4TS,1.0973027096337702,0.3505579309625612,0.2837105016164355,0.3132756283241213,0.0524559390968818,0.0,17163.7109375,103.36981201171875,131.01034545898438,-72.23995208740234,109.29650115966797,45.19919967651367
LOCF,1.2962971392276004,0.320589617101245,0.2037232793046746,0.3449025135071646,0.1305496828752642,0.0002349072116513,19862.087890625,110.14071655273438,140.93292236328125,-93.14895629882812,105.76396179199219,45.613731384277344
Median,1.3807190743688385,0.3081395348837209,0.1415571284125379,0.3938321536905965,0.1564711830131445,0.0,21994.693359375,115.71088409423828,148.3060760498047,-103.93630981445312,105.79460906982422,44.56547546386719
Mean,1.0199134814717905,0.3511292486583184,0.317195885509839,0.3316748658318426,0.0,0.0,16887.45703125,102.7007064819336,129.95175170898438,-74.10371398925781,106.75547790527344,43.68513107299805
