Model,risk,A,B,C,D,E,MSE,MAE,RMSE,Bias,emp_SE,mard,dtw
Lerp,0.0030391684712473,0.9990943669625068,0.0009056330374932,0.0,0.0,0.0,24.599613189697266,1.960255622863769,4.959799766540527,-0.33526736497879,4.948469638824463,1.572745680809021,3.961358860423923
CSDI,0.0062198584197773,0.9974525419074384,0.0025007157422393,4.674235032223008e-05,0.0,0.0,45.086490631103516,3.307180404663086,6.71464729309082,0.108677804470062,6.713787078857422,2.716346979141235,8.444398078998416
SAITS,0.0333529022229456,0.9836460201810098,0.0162254383556041,0.0001285414633861,0.0,0.0,582.8922729492188,18.48666000366211,24.14316177368164,12.062671661376953,20.913793563842773,15.501494407653809,73.16654173197794
FreTS,0.1507975260713846,0.899977213104218,0.0890441773638483,0.0106747842548392,0.0003038252770944,0.0,1692.218017578125,28.43503761291504,41.13657760620117,5.179039001464844,40.80937576293945,20.89570426940918,125.25127481123964
SCINet,0.0647957370631302,0.9628865738441492,0.0365057756016616,0.0006076505541889,0.0,0.0,1198.980224609375,22.248218536376953,34.62629318237305,2.316816806793213,34.548797607421875,15.659429550170898,88.51007671790221
TimeMixer,2.357253188579182,4.089955653195132e-05,0.0081506973374388,0.712283305385303,0.273004539850775,0.006520557869951,12723.4970703125,91.78267669677734,112.79847717285156,-91.78267669677734,65.57028198242188,62.7319221496582,374.5348478837359
TimeMixerPP,0.3166207185830125,0.8235359419460009,0.1006596514189224,0.0347763086397391,0.0407534866871943,0.0002746113081431,5127.515625,35.1589241027832,71.60667419433594,-28.066356658935547,65.87731170654297,18.482318878173828,144.80707934628717
TSLANet,2.0665466174684504,0.0896985702683595,0.0993683939912708,0.537244889016132,0.2314505904143125,0.0422375563099251,12641.25,85.95284271240234,112.43331146240234,-85.57844543457031,72.92195892333984,57.0869140625,356.7367261537458
TEFN,0.2838125255572302,0.8194284579114349,0.1184860152730629,0.054098427704191,0.007987099111311,0.0,4563.15966796875,39.01546096801758,67.55116271972656,-0.8874968290328981,67.5455322265625,25.60175895690918,160.0740249028711
TOTEM,2.312220174968394,0.0252817687305361,0.047139660299969,0.6167477841204551,0.2631126899638331,0.0477180968852066,13305.759765625,91.73001861572266,115.35059356689453,-91.72999572753906,69.93848419189453,62.09516525268555,374.9564239729523
GPT4TS,0.6185466095629908,0.5123545874695444,0.4430824242919994,0.0445629882384561,0.0,0.0,5832.01904296875,63.26408767700195,76.36766052246094,42.62606430053711,63.36450958251953,51.422481536865234,257.9473808892393
LOCF,0.027805542895852,0.9879112596479132,0.007379448557122,0.002997353214413,0.0013263141903932,0.0003856243901583,203.5713653564453,6.445473670959473,14.267844200134277,-3.138905525207519,13.918325424194336,5.006712913513184,28.64534890626778
Median,0.2915067234259182,0.8486015273062968,0.079502895104323,0.0165292636326986,0.0553663139566815,0.0,5140.8310546875,36.16167068481445,71.69959259033203,-12.593873023986816,70.5850830078125,20.76995849609375,149.03477315583532
Mean,0.3796951921856638,0.7715818195628422,0.1676414394306781,0.0607767410064796,0.0,0.0,5535.76953125,55.71791458129883,74.40275573730469,23.527517318725586,70.5850830078125,41.76373291015625,228.49097960803599
