Model,risk,A,B,C,D,E,MSE,MAE,RMSE,Bias,emp_SE,mard,dtw
Lerp,0.5167095244639476,0.663556798545185,0.2128011652309561,0.1127093774374399,0.0109326587864188,0.0,8279.4423828125,69.70635223388672,90.99143981933594,-62.46591567993164,66.1624526977539,24.998502731323242,271.247430750195
CSDI,0.2993993563247998,0.8024709446386017,0.1262103707278815,0.068922721572717,0.0023959630607997,0.0,4372.20361328125,44.1019401550293,66.12264251708984,-29.223876953125,59.31428146362305,17.153587341308594,181.63840617401831
SAITS,0.7382370735709978,0.4926462033034987,0.3213693187449635,0.1853682500420155,0.0006162279095222,0.0,11641.986328125,86.64334869384766,107.89803314208984,-80.03428649902344,72.36381530761719,30.188697814941406,345.7359263036606
FreTS,1.0687321114785755,0.3209125344204225,0.3475266852540539,0.310229814226677,0.0212663268076377,6.463929120862547e-05,17450.265625,111.02827453613281,132.09945678710938,-106.3565673828125,78.34906005859375,37.95063781738281,457.27914171238825
SCINet,0.9843261400103754,0.3527926328445167,0.3454754650797002,0.2970692545366009,0.0046626475391821,0.0,16092.55078125,105.6441650390625,126.85641479492188,-102.27650451660156,75.04727935791016,35.51798629760742,472.7279861948609
TimeMixer,3.109350101077061,0.0013057136824142,0.0035939445911995,0.1174883757007976,0.6511201989166455,0.226491767108943,56866.27734375,219.77792358398438,238.4665069580078,-219.77659606933594,92.54495239257812,79.34405517578125,1285.555334893911
TimeMixerPP,1.80491802642142,0.1586592949146115,0.1108994772835984,0.4822004938441848,0.2473487117389262,0.000892022218679,32323.01953125,155.4019775390625,179.78604125976562,-154.30746459960938,92.26187133789062,52.087528228759766,707.2750152964649
TSLANet,2.944321805545586,0.019245271635848,0.0270450794416888,0.1375782674084384,0.5733375851622662,0.2427937963517584,55073.25,213.90545654296875,234.67691040039062,-213.83790588378906,96.67802429199219,76.38468170166016,1176.0762726492467
TEFN,1.6442355159055833,0.1870661087577621,0.1290372623967387,0.5276031319891233,0.1562934968563758,0.0,28970.412109375,145.190673828125,170.20697021484375,-141.5812225341797,94.47333526611328,48.4238395690918,885.5449816630223
TOTEM,3.128382674700162,0.0089503871893543,0.0161167299413506,0.1133816260660096,0.5091895525668263,0.3523617042364591,58658.07421875,222.05178833007812,242.1942901611328,-222.05015563964844,96.70494079589844,79.73441314697266,1158.113767977676
GPT4TS,1.1062599227861152,0.3090275234101966,0.3191069435526616,0.3571062282111722,0.0147593048259694,0.0,19078.98828125,115.53899383544922,138.126708984375,-99.9940185546875,95.29021453857422,40.6222038269043,355.04674682052104
LOCF,1.375419363445811,0.3064591889061739,0.1872341709149045,0.3408817661178072,0.1537165437801919,0.0117083302809223,24780.1953125,128.06130981445312,157.41726684570312,-123.25590515136719,97.91947174072266,42.91347885131836,802.0614350317248
Median,1.7571784722850077,0.1673425063669701,0.0907664927151518,0.5232895366224678,0.2186014642954102,0.0,30869.357421875,150.57171630859375,175.69677734375,-148.06442260742188,94.58499145507812,49.96010971069336,918.1534861009646
Mean,1.444686339875169,0.202083970748566,0.1992269140771448,0.598689115174289,0.0,0.0,24777.845703125,133.14883422851562,157.40980529785156,-125.82353210449219,94.58499908447266,44.59492874145508,814.2696984257848
