Model,risk,A,B,C,D,E,MSE,MAE,RMSE,Bias,emp_SE,mard,dtw
Lerp,0.0030391684712473,0.9990943669625068,0.0009056330374932,0.0,0.0,0.0,24.599613189697266,1.960255622863769,4.959799766540527,-0.33526736497879,4.948469638824463,1.572745680809021,3.961358862387279
CSDI,0.0053185203742099,0.9983464893573512,0.001635982261278,1.752838137083628e-05,0.0,0.0,43.01799392700195,3.51076340675354,6.558810234069824,1.617439985275268,6.356266021728516,3.00357723236084,8.862523015066252
SAITS,0.0199180859924473,0.993000333039246,0.006520557869951,0.0004557379156417,2.337117516111504e-05,0.0,265.7146911621094,9.557649612426758,16.300756454467773,-2.260303020477295,16.143333435058594,7.216007232666016,36.21268757228284
FreTS,0.237274433015205,0.830477180968852,0.1624296673697495,0.006812697559465,0.0002804541019333,0.0,2921.114013671875,41.38310241699219,54.047332763671875,20.117956161499023,50.1636962890625,31.89522933959961,169.3705398867971
SCINet,0.19778282601089,0.8644179700965814,0.107232794432986,0.0221441884651565,0.006205047005276,0.0,2968.728271484375,27.013538360595703,54.48603820800781,-20.369722366333008,50.535308837890625,14.405287742614746,105.38667296561903
TimeMixer,2.4422071492470465,1.168558758055752e-05,0.00524098602988,0.6615444841105222,0.3034630238794982,0.0297398203925188,13489.8017578125,94.85322570800781,116.1456069946289,-94.85322570800781,67.02754211425781,64.95133209228516,387.0683895706902
TimeMixerPP,0.6357595206342028,0.5700872329112888,0.297380675543818,0.1107559990885241,0.0212034986649216,0.0005725937914473,4956.84130859375,45.256935119628906,70.40483856201172,-43.875396728515625,55.06186294555664,27.873367309570312,183.60915618487186
TSLANet,2.1512273738559364,0.0700784687206034,0.0869991995372507,0.5446827655111568,0.2538226478372898,0.0444169183936991,12990.46484375,88.15798950195312,113.97572326660156,-87.70075225830078,72.79476165771484,58.90960693359375,364.83086706006344
TEFN,0.341627085833876,0.7695894268803571,0.1704810372127536,0.0535492050879048,0.0059304356971329,0.0004498951218514,4727.12890625,43.6660270690918,68.75411987304688,6.69303035736084,68.42777252197266,30.617082595825195,188.77113998906322
TOTEM,2.3774078970216608,0.0055506541007648,0.0359740813667463,0.6298648561796308,0.2842285467219005,0.0443818616309574,13384.47265625,93.41905975341797,115.6912841796875,-93.41885375976562,68.2452621459961,63.71778106689453,381.82395917729366
GPT4TS,0.3587202401377977,0.7296714597051727,0.242131217462942,0.0281797944505144,1.752838137083628e-05,0.0,4144.77734375,46.48813247680664,64.37994384765625,20.895030975341797,60.894962310791016,35.50166320800781,187.30449629655632
LOCF,0.027805542895852,0.9879112596479132,0.007379448557122,0.002997353214413,0.0013263141903932,0.0003856243901583,203.5713653564453,6.445473670959473,14.267844200134277,-3.138905525207519,13.918325424194336,5.006712913513184,28.64534890626778
Median,0.2915067234259182,0.8486015273062968,0.079502895104323,0.0165292636326986,0.0553663139566815,0.0,5140.8310546875,36.16167068481445,71.69959259033203,-12.593873023986816,70.5850830078125,20.76995849609375,149.03477315583532
Mean,0.3796951921856638,0.7715818195628422,0.1676414394306781,0.0607767410064796,0.0,0.0,5535.76953125,55.71791458129883,74.40275573730469,23.527517318725586,70.5850830078125,41.76373291015625,228.49097960803599
